SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99993.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99986.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
99982.0,8.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,17.0
99977.0,8.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,21.0
99972.0,11.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,25.0
99971.0,10.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,24.0
99963.0,9.0,11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,37.0,28.0
99955.0,11.0,11.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,11.0,45.0,34.0
99947.0,13.0,14.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,11.0,53.0,42.0
99935.0,15.0,18.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,15.0,65.0,50.0
99924.0,15.0,25.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,18.0,76.0,58.0
99909.0,12.0,36.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,24.0,91.0,67.0
99892.0,16.0,38.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,31.0,108.0,77.0
99875.0,20.0,40.0,5.0,18.0,4.0,1.0,0.0,0.0,0.0,37.0,125.0,88.0
99855.0,22.0,48.0,5.0,23.0,3.0,1.0,0.0,0.0,0.0,43.0,145.0,102.0
99824.0,30.0,58.0,5.0,29.0,4.0,1.0,0.0,0.0,0.0,49.0,176.0,127.0
99789.0,39.0,73.0,5.0,28.0,5.0,1.0,0.0,0.0,0.0,60.0,211.0,151.0
99748.0,53.0,75.0,6.0,39.0,6.0,1.0,0.0,1.0,0.0,71.0,252.0,180.0
99695.0,68.0,88.0,11.0,45.0,7.0,1.0,0.0,1.0,0.0,84.0,305.0,220.0
99641.0,81.0,100.0,20.0,50.0,8.0,1.0,0.0,1.0,0.0,98.0,359.0,260.0
99581.0,84.0,111.0,27.0,62.0,9.0,1.0,0.0,1.0,0.0,124.0,419.0,294.0
99514.0,101.0,132.0,26.0,65.0,11.0,1.0,1.0,1.0,0.0,148.0,486.0,337.0
99426.0,127.0,144.0,29.0,82.0,14.0,1.0,0.0,2.0,0.0,175.0,574.0,397.0
99319.0,141.0,183.0,31.0,92.0,17.0,2.0,0.0,2.0,0.0,213.0,681.0,466.0
99195.0,159.0,216.0,30.0,120.0,26.0,3.0,0.0,2.0,0.0,249.0,805.0,554.0
99055.0,176.0,264.0,44.0,138.0,24.0,2.0,0.0,3.0,0.0,294.0,945.0,648.0
98880.0,200.0,329.0,50.0,156.0,33.0,1.0,0.0,4.0,0.0,347.0,1120.0,769.0
98693.0,230.0,388.0,65.0,178.0,29.0,1.0,0.0,4.0,0.0,412.0,1307.0,891.0
98463.0,272.0,450.0,69.0,220.0,40.0,0.0,0.0,5.0,0.0,481.0,1537.0,1051.0
