SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99992.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99992.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99991.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
99990.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0
99988.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0
99985.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0
99985.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,8.0
99985.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,15.0,7.0
99984.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,16.0,8.0
99980.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,20.0,11.0
99980.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,20.0,9.0
99978.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,22.0,10.0
99975.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,25.0,12.0
99970.0,4.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,30.0,16.0
99965.0,4.0,11.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,35.0,20.0
99961.0,7.0,10.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,39.0,24.0
99951.0,10.0,12.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,49.0,31.0
99943.0,12.0,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,57.0,38.0
99935.0,15.0,12.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,23.0,65.0,42.0
99915.0,24.0,20.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,25.0,85.0,60.0
99889.0,33.0,27.0,8.0,11.0,4.0,0.0,0.0,0.0,0.0,28.0,111.0,83.0
99872.0,37.0,30.0,11.0,13.0,4.0,0.0,0.0,0.0,0.0,33.0,128.0,95.0
99850.0,43.0,32.0,13.0,21.0,3.0,0.0,0.0,0.0,0.0,38.0,150.0,112.0
99814.0,52.0,42.0,14.0,23.0,6.0,0.0,0.0,0.0,0.0,49.0,186.0,137.0
99771.0,58.0,61.0,17.0,26.0,8.0,0.0,0.0,0.0,0.0,59.0,229.0,170.0
99719.0,68.0,81.0,21.0,31.0,10.0,0.0,0.0,0.0,0.0,70.0,281.0,211.0
99665.0,76.0,99.0,20.0,37.0,11.0,0.0,0.0,0.0,0.0,92.0,335.0,243.0
99618.0,85.0,114.0,18.0,44.0,13.0,1.0,0.0,0.0,0.0,107.0,382.0,275.0
99552.0,105.0,120.0,14.0,65.0,17.0,1.0,0.0,0.0,0.0,126.0,448.0,322.0
