SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99990.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0
99990.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0
99990.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0
99986.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0
99984.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0
99975.0,7.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,19.0
99975.0,7.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,18.0
99974.0,7.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,18.0
99970.0,6.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0
99961.0,10.0,8.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,39.0,26.0
99952.0,10.0,12.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,17.0,48.0,31.0
99946.0,10.0,15.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,19.0,54.0,35.0
99942.0,11.0,16.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,58.0,37.0
99931.0,13.0,21.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,25.0,69.0,44.0
99918.0,14.0,27.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,27.0,82.0,55.0
99912.0,15.0,24.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,31.0,88.0,57.0
99900.0,15.0,25.0,5.0,14.0,4.0,0.0,0.0,0.0,0.0,37.0,100.0,63.0
99879.0,17.0,33.0,6.0,18.0,3.0,0.0,0.0,0.0,0.0,44.0,121.0,77.0
99861.0,15.0,39.0,11.0,21.0,2.0,1.0,0.0,0.0,0.0,50.0,139.0,89.0
99837.0,21.0,44.0,12.0,24.0,3.0,1.0,0.0,0.0,0.0,58.0,163.0,105.0
99811.0,26.0,52.0,14.0,29.0,6.0,1.0,0.0,0.0,0.0,61.0,189.0,128.0
99782.0,34.0,60.0,13.0,33.0,10.0,0.0,0.0,1.0,0.0,67.0,218.0,150.0
99741.0,47.0,60.0,18.0,47.0,11.0,0.0,0.0,1.0,0.0,75.0,259.0,183.0
99694.0,58.0,83.0,16.0,44.0,15.0,1.0,0.0,1.0,0.0,88.0,306.0,217.0
99620.0,83.0,105.0,18.0,50.0,16.0,1.0,0.0,1.0,0.0,106.0,380.0,273.0
99548.0,104.0,117.0,27.0,55.0,15.0,1.0,0.0,1.0,0.0,132.0,452.0,319.0
99470.0,128.0,127.0,32.0,70.0,17.0,2.0,0.0,2.0,0.0,152.0,530.0,376.0
99353.0,163.0,153.0,45.0,87.0,15.0,3.0,0.0,2.0,0.0,179.0,647.0,466.0
