SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99993.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99991.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
99990.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99989.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99989.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99988.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0
99984.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0
99981.0,4.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99974.0,7.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,19.0
99973.0,7.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,27.0,20.0
99968.0,8.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,32.0,21.0
99963.0,10.0,11.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,37.0,26.0
99959.0,10.0,11.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,12.0,41.0,29.0
99949.0,10.0,13.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,14.0,51.0,37.0
99935.0,15.0,16.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,16.0,65.0,49.0
99923.0,16.0,26.0,4.0,10.0,2.0,1.0,0.0,0.0,0.0,18.0,77.0,59.0
99916.0,19.0,19.0,5.0,16.0,2.0,1.0,0.0,0.0,0.0,22.0,84.0,62.0
99901.0,21.0,27.0,4.0,15.0,4.0,1.0,0.0,0.0,0.0,27.0,99.0,72.0
99879.0,24.0,36.0,6.0,14.0,2.0,1.0,0.0,0.0,0.0,38.0,121.0,83.0
99866.0,24.0,34.0,10.0,19.0,1.0,0.0,0.0,1.0,0.0,45.0,134.0,88.0
99841.0,28.0,43.0,11.0,25.0,1.0,0.0,0.0,1.0,0.0,50.0,159.0,108.0
99819.0,31.0,53.0,10.0,26.0,3.0,0.0,0.0,1.0,0.0,57.0,181.0,123.0
99799.0,27.0,54.0,8.0,30.0,7.0,0.0,0.0,1.0,0.0,74.0,201.0,126.0
99761.0,42.0,56.0,12.0,37.0,7.0,1.0,0.0,1.0,0.0,83.0,239.0,155.0
99719.0,51.0,69.0,16.0,41.0,7.0,0.0,0.0,1.0,0.0,96.0,281.0,184.0
99682.0,55.0,72.0,20.0,46.0,8.0,0.0,0.0,1.0,0.0,116.0,318.0,201.0
99635.0,64.0,82.0,23.0,56.0,11.0,0.0,0.0,1.0,0.0,128.0,365.0,236.0
99573.0,72.0,105.0,24.0,60.0,14.0,0.0,0.0,1.0,0.0,151.0,427.0,275.0
99496.0,85.0,136.0,25.0,65.0,17.0,2.0,0.0,1.0,0.0,173.0,504.0,330.0
