SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99993.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99991.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
99990.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99989.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99989.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99988.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0
99988.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0
99983.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0
99981.0,0.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,12.0
99979.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,14.0
99977.0,0.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,23.0,14.0
99976.0,0.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,11.0,24.0,13.0
99969.0,0.0,10.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,12.0,31.0,19.0
99962.0,3.0,13.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,12.0,38.0,26.0
99952.0,8.0,15.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,15.0,48.0,33.0
99948.0,8.0,13.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,16.0,52.0,36.0
99936.0,12.0,15.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,19.0,64.0,45.0
99919.0,17.0,22.0,4.0,14.0,3.0,0.0,0.0,0.0,0.0,21.0,81.0,60.0
99895.0,24.0,28.0,9.0,16.0,2.0,0.0,0.0,0.0,0.0,26.0,105.0,79.0
99872.0,33.0,31.0,11.0,17.0,2.0,0.0,0.0,0.0,0.0,34.0,128.0,94.0
99854.0,37.0,35.0,13.0,19.0,1.0,0.0,0.0,0.0,0.0,41.0,146.0,105.0
99827.0,46.0,42.0,10.0,22.0,4.0,0.0,0.0,0.0,0.0,49.0,173.0,124.0
99791.0,55.0,55.0,6.0,27.0,9.0,0.0,0.0,0.0,0.0,57.0,209.0,152.0
99730.0,72.0,76.0,12.0,30.0,10.0,0.0,0.0,0.0,0.0,70.0,270.0,200.0
99680.0,76.0,98.0,13.0,37.0,9.0,0.0,0.0,0.0,0.0,87.0,320.0,233.0
99616.0,84.0,116.0,21.0,50.0,7.0,0.0,0.0,0.0,0.0,106.0,384.0,278.0
99550.0,101.0,130.0,19.0,62.0,12.0,0.0,0.0,0.0,0.0,126.0,450.0,324.0
99437.0,118.0,178.0,25.0,75.0,10.0,1.0,0.0,0.0,0.0,156.0,563.0,407.0
99339.0,120.0,204.0,33.0,98.0,11.0,1.0,0.0,0.0,0.0,194.0,661.0,467.0
