SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99993.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99991.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
99990.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99989.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99989.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99988.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0
99986.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0
99981.0,4.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99975.0,5.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,17.0
99974.0,5.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,18.0
99970.0,6.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0
99964.0,6.0,11.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,11.0,36.0,25.0
99957.0,8.0,11.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,11.0,43.0,32.0
99950.0,10.0,13.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,14.0,50.0,36.0
99943.0,11.0,11.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,16.0,57.0,41.0
99931.0,16.0,14.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,18.0,69.0,51.0
99918.0,18.0,19.0,10.0,7.0,3.0,1.0,0.0,0.0,0.0,24.0,82.0,58.0
99907.0,18.0,21.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,31.0,93.0,62.0
99885.0,23.0,29.0,9.0,12.0,9.0,0.0,0.0,0.0,0.0,33.0,115.0,82.0
99870.0,26.0,32.0,9.0,14.0,10.0,0.0,0.0,0.0,0.0,39.0,130.0,91.0
99850.0,28.0,33.0,13.0,20.0,10.0,0.0,0.0,0.0,0.0,46.0,150.0,104.0
99820.0,34.0,43.0,14.0,20.0,12.0,0.0,0.0,0.0,0.0,57.0,180.0,123.0
99782.0,47.0,47.0,20.0,27.0,9.0,0.0,0.0,0.0,0.0,68.0,218.0,150.0
99749.0,55.0,52.0,21.0,31.0,12.0,2.0,0.0,0.0,0.0,78.0,251.0,173.0
99707.0,64.0,67.0,20.0,34.0,18.0,1.0,0.0,0.0,0.0,89.0,293.0,204.0
99648.0,73.0,89.0,26.0,42.0,14.0,1.0,0.0,0.0,0.0,107.0,352.0,245.0
99573.0,93.0,121.0,26.0,49.0,17.0,1.0,0.0,1.0,0.0,119.0,427.0,307.0
99509.0,96.0,155.0,24.0,48.0,20.0,1.0,0.0,1.0,0.0,146.0,491.0,344.0
99438.0,109.0,156.0,19.0,78.0,25.0,1.0,0.0,1.0,0.0,173.0,562.0,388.0
